,CustomerID,CustomerName,BillToCustomerID,CustomerCategoryID,BuyingGroupID,PrimaryContactPersonID,AlternateContactPersonID,PostalCityID,CreditLimit,AccountOpenedDate,PhoneNumber,FaxNumber
15,16,"Tailspin Toys (Coney Island, MO)",1,3,1,1031,1032,7409,0,01/11/2016,(314) 555-0100,(314) 555-0101
16,17,"Tailspin Toys (East Fultonham, OH)",1,3,1,1033,1034,9791,0,01/11/2016,(216) 555-0100,(216) 555-0101
17,18,"Tailspin Toys (Goffstown, NH)",1,3,1,1035,1036,13304,0,01/11/2016,(603) 555-0100,(603) 555-0101
18,19,"Tailspin Toys (Lemeta, AK)",1,3,1,1037,1038,19124,0,01/11/2016,(907) 555-0100,(907) 555-0101
19,20,"Tailspin Toys (College Place, WA)",1,3,1,1039,1040,7160,0,01/11/2016,(206) 555-0100,(206) 555-0101
20,21,"Tailspin Toys (Tresckow, PA)",1,3,1,1041,1042,34403,0,01/11/2016,(215) 555-0100,(215) 555-0101
21,22,"Tailspin Toys (Ward Ridge, FL)",1,3,1,1043,1044,35844,0,01/11/2016,(239) 555-0100,(239) 555-0101
22,23,"Tailspin Toys (Ikatan, AK)",1,3,1,1045,1046,16411,0,01/11/2016,(907) 555-0100,(907) 555-0101
23,24,"Tailspin Toys (Dundarrach, NC)",1,3,1,1047,1048,9524,0,01/11/2016,(252) 555-0100,(252) 555-0101
24,25,"Tailspin Toys (Avenal, CA)",1,3,1,1049,1050,1604,0,01/11/2016,(209) 555-0100,(209) 555-0101
25,26,"Tailspin Toys (Hedrick, IA)",1,3,1,1051,1052,15102,0,01/11/2016,(319) 555-0100,(319) 555-0101
26,27,"Tailspin Toys (Bowlus, MN)",1,3,1,1053,1054,3707,0,01/11/2016,(218) 555-0100,(218) 555-0101
27,28,"Tailspin Toys (North Ridge, NY)",1,3,1,1055,1056,24700,0,01/11/2016,(212) 555-0100,(212) 555-0101
28,29,"Tailspin Toys (Eulaton, AL)",1,3,1,1057,1058,10910,0,01/11/2016,(205) 555-0100,(205) 555-0101
29,30,"Tailspin Toys (Koontzville, WA)",1,3,1,1059,1060,17999,0,01/11/2016,(206) 555-0100,(206) 555-0101
30,31,"Tailspin Toys (Lake Stevens, WA)",1,3,1,1061,1062,18460,0,01/11/2016,(206) 555-0100,(206) 555-0101
31,32,"Tailspin Toys (Maypearl, TX)",1,3,1,1063,1064,21367,0,01/11/2016,(210) 555-0100,(210) 555-0101
32,33,"Tailspin Toys (Boyden Arbor, SC)",1,3,1,1065,1066,3736,0,01/11/2016,(803) 555-0100,(803) 555-0101
33,34,"Tailspin Toys (Dallardsville, TX)",1,3,1,1067,1068,8375,0,01/11/2016,(210) 555-0100,(210) 555-0101
34,35,"Tailspin Toys (Slanesville, WV)",1,3,1,1069,1070,31758,0,01/11/2016,(304) 555-0100,(304) 555-0101
35,36,"Tailspin Toys (Ekron, KY)",1,3,1,1071,1072,10193,0,01/11/2016,(270) 555-0100,(270) 555-0101
36,37,"Tailspin Toys (Kerby, OR)",1,3,1,1073,1074,17591,0,01/11/2016,(458) 555-0100,(458) 555-0101
37,38,"Tailspin Toys (Airport Drive, MO)",1,3,1,1075,1076,232,0,01/11/2016,(314) 555-0100,(314) 555-0101
38,39,"Tailspin Toys (Diablock, KY)",1,3,1,1077,1078,9040,0,01/11/2016,(270) 555-0100,(270) 555-0101
39,40,"Tailspin Toys (Impact, TX)",1,3,1,1079,1080,16433,0,01/11/2016,(210) 555-0100,(210) 555-0101
40,41,"Tailspin Toys (Olivette, MO)",1,3,1,1081,1082,25376,0,01/11/2016,(314) 555-0100,(314) 555-0101
41,42,"Tailspin Toys (Arietta, NY)",1,3,1,1083,1084,1132,0,01/11/2016,(212) 555-0100,(212) 555-0101
42,43,"Tailspin Toys (Upper Preston, WA)",1,3,1,1085,1086,34910,0,01/11/2016,(206) 555-0100,(206) 555-0101
43,44,"Tailspin Toys (Amanda Park, WA)",1,3,1,1087,1088,696,0,01/11/2016,(206) 555-0100,(206) 555-0101
44,45,"Tailspin Toys (Severna Park, MD)",1,3,1,1089,1090,31104,0,01/11/2016,(240) 555-0100,(240) 555-0101
45,46,"Tailspin Toys (Jemison, AL)",1,3,1,1091,1092,16992,0,01/11/2016,(205) 555-0100,(205) 555-0101
46,47,"Tailspin Toys (Lake Hughes, CA)",1,3,1,1093,1094,18375,0,01/11/2016,(209) 555-0100,(209) 555-0101
47,48,"Tailspin Toys (Trentwood, WA)",1,3,1,1095,1096,34400,0,01/11/2016,(206) 555-0100,(206) 555-0101
48,49,"Tailspin Toys (Muir, MI)",1,3,1,1097,1098,23396,0,01/11/2016,(231) 555-0100,(231) 555-0101
49,50,"Tailspin Toys (Hambleton, WV)",1,3,1,1099,1100,14380,0,01/11/2016,(304) 555-0100,(304) 555-0101
50,51,"Tailspin Toys (Imlaystown, NJ)",1,3,1,1101,1102,16430,0,01/11/2016,(201) 555-0100,(201) 555-0101
51,52,"Tailspin Toys (Idria, CA)",1,3,1,1103,1104,16401,0,01/11/2016,(209) 555-0100,(209) 555-0101
52,53,"Tailspin Toys (Nanafalia, AL)",1,3,1,1105,1106,23560,0,01/11/2016,(205) 555-0100,(205) 555-0101
53,54,"Tailspin Toys (Railroad, PA)",1,3,1,1107,1108,28222,0,01/11/2016,(215) 555-0100,(215) 555-0101
54,55,"Tailspin Toys (Gum Branch, GA)",1,3,1,1109,1110,14194,0,01/11/2016,(229) 555-0100,(229) 555-0101
55,56,"Tailspin Toys (Royal City, WA)",1,3,1,1111,1112,29729,0,01/11/2016,(206) 555-0100,(206) 555-0101
56,57,"Tailspin Toys (Lakemore, OH)",1,3,1,1113,1114,18514,0,01/11/2016,(216) 555-0100,(216) 555-0101
57,58,"Tailspin Toys (Mappsburg, VA)",1,3,1,1115,1116,20868,0,01/11/2016,(276) 555-0100,(276) 555-0101
58,59,"Tailspin Toys (Edgartown, MA)",1,3,1,1117,1118,10055,0,01/11/2016,(339) 555-0100,(339) 555-0101
59,60,"Tailspin Toys (East Dailey, WV)",1,3,1,1119,1120,9772,0,01/11/2016,(304) 555-0100,(304) 555-0101
60,61,"Tailspin Toys (Fairfield Glade, TN)",1,3,1,1121,1122,11131,0,01/11/2016,(423) 555-0100,(423) 555-0101
61,62,"Tailspin Toys (Great Neck Estates, NY)",1,3,1,1123,1124,13800,0,01/11/2016,(212) 555-0100,(212) 555-0101
62,63,"Tailspin Toys (Stallion Springs, CA)",1,3,1,1125,1126,32561,0,01/11/2016,(209) 555-0100,(209) 555-0101
63,64,"Tailspin Toys (Hodgdon, ME)",1,3,1,1127,1128,15646,0,01/11/2016,(207) 555-0100,(207) 555-0101
64,65,"Tailspin Toys (North Cowden, TX)",1,3,1,1129,1130,24579,0,01/11/2016,(210) 555-0100,(210) 555-0101
65,66,"Tailspin Toys (Madaket, MA)",1,3,1,1131,1132,20475,0,01/11/2016,(339) 555-0100,(339) 555-0101
66,67,"Tailspin Toys (Sentinel Butte, ND)",1,3,1,1133,1134,31075,0,01/11/2016,(701) 555-0100,(701) 555-0101
67,68,"Tailspin Toys (Gardere, LA)",1,3,1,1135,1136,12653,0,01/11/2016,(225) 555-0100,(225) 555-0101
68,69,"Tailspin Toys (Lytle Creek, CA)",1,3,1,1137,1138,20413,0,01/11/2016,(209) 555-0100,(209) 555-0101
69,70,"Tailspin Toys (New Baden, IL)",1,3,1,1139,1140,23843,0,01/11/2016,(217) 555-0100,(217) 555-0101
70,71,"Tailspin Toys (Good Hart, MI)",1,3,1,1141,1142,13375,0,01/11/2016,(231) 555-0100,(231) 555-0101
71,72,"Tailspin Toys (Cortaro, AZ)",1,3,1,1143,1144,7672,0,01/11/2016,(480) 555-0100,(480) 555-0101
72,73,"Tailspin Toys (Cokato, MN)",1,3,1,1145,1146,7071,0,01/11/2016,(218) 555-0100,(218) 555-0101
73,74,"Tailspin Toys (Indios, PR)",1,3,1,1147,1148,16520,0,01/11/2016,(787) 555-0100,(787) 555-0101
74,75,"Tailspin Toys (Windsor Locks, CT)",1,3,1,1149,1150,37473,0,01/11/2016,(203) 555-0100,(203) 555-0101
75,76,"Tailspin Toys (Yewed, OK)",1,3,1,1151,1152,38042,0,01/11/2016,(405) 555-0100,(405) 555-0101
76,77,"Tailspin Toys (Hahira, GA)",1,3,1,1153,1154,14287,0,01/11/2016,(229) 555-0100,(229) 555-0101
77,78,"Tailspin Toys (Sekiu, WA)",1,3,1,1155,1156,31010,0,01/11/2016,(206) 555-0100,(206) 555-0101
78,79,"Tailspin Toys (Page City, KS)",1,3,1,1157,1158,25933,0,01/11/2016,(316) 555-0100,(316) 555-0101
79,80,"Tailspin Toys (Valdese, NC)",1,3,1,1159,1160,34990,0,01/11/2016,(252) 555-0100,(252) 555-0101
80,81,"Tailspin Toys (Big Moose, NY)",1,3,1,1161,1162,2971,0,01/11/2016,(212) 555-0100,(212) 555-0101
81,82,"Tailspin Toys (La Cueva, NM)",1,3,1,1163,1164,18087,0,01/11/2016,(505) 555-0100,(505) 555-0101
82,83,"Tailspin Toys (Absecon, NJ)",1,3,1,1165,1166,49,0,01/11/2016,(201) 555-0100,(201) 555-0101
83,84,"Tailspin Toys (Aceitunas, PR)",1,3,1,1167,1168,58,0,01/11/2016,(787) 555-0100,(787) 555-0101
84,85,"Tailspin Toys (Andrix, CO)",1,3,1,1169,1170,843,0,01/11/2016,(303) 555-0100,(303) 555-0101
85,86,"Tailspin Toys (New Lexington, OH)",1,3,1,1171,1172,24014,0,01/11/2016,(216) 555-0100,(216) 555-0101
86,87,"Tailspin Toys (Sauquoit, NY)",1,3,1,1173,1174,30698,0,01/11/2016,(212) 555-0100,(212) 555-0101
87,88,"Tailspin Toys (Dracut, MA)",1,3,1,1175,1176,9379,0,01/11/2016,(339) 555-0100,(339) 555-0101
88,89,"Tailspin Toys (Victory Gardens, NJ)",1,3,1,1177,1178,35344,0,01/11/2016,(201) 555-0100,(201) 555-0101
89,90,"Tailspin Toys (Tolna, ND)",1,3,1,1179,1180,34192,0,01/11/2016,(701) 555-0100,(701) 555-0101
90,91,"Tailspin Toys (Alstead, NH)",1,3,1,1181,1182,600,0,01/11/2016,(603) 555-0100,(603) 555-0101
91,92,"Tailspin Toys (Sans Souci, SC)",1,3,1,1183,1184,30548,0,01/11/2016,(803) 555-0100,(803) 555-0101
92,93,"Tailspin Toys (Clewiston, FL)",1,3,1,1185,1186,6809,0,01/11/2016,(239) 555-0100,(239) 555-0101
93,94,"Tailspin Toys (Cheyenne Wells, CO)",1,3,1,1187,1188,6327,0,01/11/2016,(303) 555-0100,(303) 555-0101
94,95,"Tailspin Toys (Lavon, TX)",1,3,1,1189,1190,18882,0,01/11/2016,(210) 555-0100,(210) 555-0101
95,96,"Tailspin Toys (South La Paloma, TX)",1,3,1,1191,1192,32124,0,01/11/2016,(210) 555-0100,(210) 555-0101
96,97,"Tailspin Toys (Manchester Center, VT)",1,3,1,1193,1194,20710,0,01/11/2016,(802) 555-0100,(802) 555-0101
97,98,"Tailspin Toys (El Centro, CA)",1,3,1,1195,1196,10199,0,01/11/2016,(209) 555-0100,(209) 555-0101
98,99,"Tailspin Toys (Guin, AL)",1,3,1,1197,1198,14173,0,01/11/2016,(205) 555-0100,(205) 555-0101
99,100,"Tailspin Toys (Tunnelhill, PA)",1,3,1,1199,1200,34584,0,01/11/2016,(215) 555-0100,(215) 555-0101
100,101,"Tailspin Toys (Cundiyo, NM)",1,3,1,1201,1202,8227,0,01/11/2016,(505) 555-0100,(505) 555-0101
101,102,"Tailspin Toys (Fieldbrook, CA)",1,3,1,1203,1204,11520,0,01/11/2016,(209) 555-0100,(209) 555-0101
102,103,"Tailspin Toys (Kalvesta, KS)",1,3,1,1205,1206,17306,0,01/11/2016,(316) 555-0100,(316) 555-0101
103,104,"Tailspin Toys (Wallagrass, ME)",1,3,1,1207,1208,35712,0,01/11/2016,(207) 555-0100,(207) 555-0101
104,105,"Tailspin Toys (Tomnolen, MS)",1,3,1,1209,1210,34208,0,01/11/2016,(228) 555-0100,(228) 555-0101
105,106,"Tailspin Toys (Tumacacori, AZ)",1,3,1,1211,1212,34568,0,01/11/2016,(480) 555-0100,(480) 555-0101
106,107,"Tailspin Toys (Glen Avon, CA)",1,3,1,1213,1214,13109,0,01/11/2016,(209) 555-0100,(209) 555-0101
107,108,"Tailspin Toys (Bernie, MO)",1,3,1,1215,1216,2789,0,01/11/2016,(314) 555-0100,(314) 555-0101
108,109,"Tailspin Toys (South Laguna, CA)",1,3,1,1217,1218,32126,0,01/11/2016,(209) 555-0100,(209) 555-0101
109,110,"Tailspin Toys (North Crows Nest, IN)",1,3,1,1219,1220,24583,0,01/11/2016,(219) 555-0100,(219) 555-0101
110,111,"Tailspin Toys (Oriole Beach, FL)",1,3,1,1221,1222,25595,0,01/11/2016,(239) 555-0100,(239) 555-0101
111,112,"Tailspin Toys (Sallyards, KS)",1,3,1,1223,1224,30288,0,01/11/2016,(316) 555-0100,(316) 555-0101
112,113,"Tailspin Toys (Dahlia, NM)",1,3,1,1225,1226,8337,0,01/11/2016,(505) 555-0100,(505) 555-0101
113,114,"Tailspin Toys (Cherry Grove Beach, SC)",1,3,1,1227,1228,6221,0,01/11/2016,(803) 555-0100,(803) 555-0101
114,115,"Tailspin Toys (Bethania, NC)",1,3,1,1229,1230,2838,0,01/11/2016,(252) 555-0100,(252) 555-0101
115,116,"Tailspin Toys (Rafael Capó, PR)",1,3,1,1231,1232,28210,0,01/11/2016,(787) 555-0100,(787) 555-0101
116,117,"Tailspin Toys (Scofield, UT)",1,3,1,1233,1234,30839,0,01/11/2016,(385) 555-0100,(385) 555-0101
117,118,"Tailspin Toys (Vassalboro, ME)",1,3,1,1235,1236,35160,0,01/11/2016,(207) 555-0100,(207) 555-0101
118,119,"Tailspin Toys (Statenville, GA)",1,3,1,1237,1238,32688,0,01/11/2016,(229) 555-0100,(229) 555-0101
119,120,"Tailspin Toys (Bratenahl, OH)",1,3,1,1239,1240,3893,0,01/11/2016,(216) 555-0100,(216) 555-0101
120,121,"Tailspin Toys (Elrosa, MN)",1,3,1,1241,1242,10561,0,01/11/2016,(218) 555-0100,(218) 555-0101
121,122,"Tailspin Toys (McClave, CO)",1,3,1,1243,1244,21439,0,01/11/2016,(303) 555-0100,(303) 555-0101
122,123,"Tailspin Toys (Roe Park, NY)",1,3,1,1245,1246,29371,0,01/11/2016,(212) 555-0100,(212) 555-0101
123,124,"Tailspin Toys (Hanoverton, OH)",1,3,1,1247,1248,14556,0,01/11/2016,(216) 555-0100,(216) 555-0101
124,125,"Tailspin Toys (Annamoriah, WV)",1,3,1,1249,1250,890,0,01/11/2016,(304) 555-0100,(304) 555-0101
125,126,"Tailspin Toys (Francis Mills, NJ)",1,3,1,1251,1252,12142,0,01/11/2016,(201) 555-0100,(201) 555-0101
126,127,"Tailspin Toys (Point Roberts, WA)",1,3,1,1253,1254,27424,0,01/11/2016,(206) 555-0100,(206) 555-0101
127,128,"Tailspin Toys (East Portal, CO)",1,3,1,1255,1256,9884,0,01/11/2016,(303) 555-0100,(303) 555-0101
128,129,"Tailspin Toys (Mineral Hills, MI)",1,3,1,1257,1258,22430,0,01/11/2016,(231) 555-0100,(231) 555-0101
129,130,"Tailspin Toys (Maple Shade, NJ)",1,3,1,1259,1260,20846,0,01/11/2016,(201) 555-0100,(201) 555-0101
130,131,"Tailspin Toys (Kwethluk, AK)",1,3,1,1261,1262,18058,0,01/11/2016,(907) 555-0100,(907) 555-0101
131,132,"Tailspin Toys (Minidoka, ID)",1,3,1,1263,1264,22453,0,01/11/2016,(208) 555-0100,(208) 555-0101
132,133,"Tailspin Toys (Lake Erie Beach, NY)",1,3,1,1265,1266,18346,0,01/11/2016,(212) 555-0100,(212) 555-0101
133,134,"Tailspin Toys (Tavares, FL)",1,3,1,1267,1268,33660,0,01/11/2016,(239) 555-0100,(239) 555-0101
134,135,"Tailspin Toys (Terre du Lac, MO)",1,3,1,1269,1270,33806,0,01/11/2016,(314) 555-0100,(314) 555-0101
135,136,"Tailspin Toys (Mount Montgomery, NV)",1,3,1,1271,1272,23229,0,01/11/2016,(702) 555-0100,(702) 555-0101
136,137,"Tailspin Toys (Carbonville, UT)",1,3,1,1273,1274,5304,0,01/11/2016,(385) 555-0100,(385) 555-0101
137,138,"Tailspin Toys (Navassa, NC)",1,3,1,1275,1276,23687,0,01/11/2016,(252) 555-0100,(252) 555-0101
138,139,"Tailspin Toys (Hardeeville, SC)",1,3,1,1277,1278,14596,0,01/11/2016,(803) 555-0100,(803) 555-0101
139,140,"Tailspin Toys (Furley, KS)",1,3,1,1279,1280,12483,0,01/11/2016,(316) 555-0100,(316) 555-0101
140,141,"Tailspin Toys (Arrow Rock, MO)",1,3,1,1281,1282,1244,0,01/11/2016,(314) 555-0100,(314) 555-0101
141,142,"Tailspin Toys (King Cove, AK)",1,3,1,1283,1284,17742,0,01/11/2016,(907) 555-0100,(907) 555-0101
142,143,"Tailspin Toys (Ashtabula, OH)",1,3,1,1285,1286,1343,0,01/11/2016,(216) 555-0100,(216) 555-0101
143,144,"Tailspin Toys (Larose, LA)",1,3,1,1287,1288,18772,0,01/11/2016,(225) 555-0100,(225) 555-0101
144,145,"Tailspin Toys (Manahawkin, NJ)",1,3,1,1289,1290,20672,0,01/11/2016,(201) 555-0100,(201) 555-0101
145,146,"Tailspin Toys (Belgreen, AL)",1,3,1,1291,1292,2425,0,01/11/2016,(205) 555-0100,(205) 555-0101
146,147,"Tailspin Toys (Fishtail, MT)",1,3,1,1293,1294,11597,0,01/11/2016,(406) 555-0100,(406) 555-0101
147,148,"Tailspin Toys (Baraboo, WI)",1,3,1,1295,1296,1904,0,01/11/2016,(262) 555-0100,(262) 555-0101
148,149,"Tailspin Toys (Inguadona, MN)",1,3,1,1297,1298,16557,0,01/11/2016,(218) 555-0100,(218) 555-0101
149,150,"Tailspin Toys (Corfu, NY)",1,3,1,1299,1300,7594,0,01/11/2016,(212) 555-0100,(212) 555-0101
150,151,"Tailspin Toys (Antares, AZ)",1,3,1,1301,1302,928,0,01/11/2016,(480) 555-0100,(480) 555-0101
151,152,"Tailspin Toys (Sun River, MT)",1,3,1,1303,1304,33227,0,01/11/2016,(406) 555-0100,(406) 555-0101
152,153,"Tailspin Toys (Marcell, MN)",1,3,1,1305,1306,20901,0,01/11/2016,(218) 555-0100,(218) 555-0101
153,154,"Tailspin Toys (Eden Valley, MN)",1,3,1,1307,1308,10043,0,01/11/2016,(218) 555-0100,(218) 555-0101
154,155,"Tailspin Toys (Arbor Vitae, WI)",1,3,1,1309,1310,1040,0,01/11/2016,(262) 555-0100,(262) 555-0101
155,156,"Tailspin Toys (Hollywood Park, TX)",1,3,1,1311,1312,15783,0,01/11/2016,(210) 555-0100,(210) 555-0101
156,157,"Tailspin Toys (Saks, AL)",1,3,1,1313,1314,30216,0,01/11/2016,(205) 555-0100,(205) 555-0101
157,158,"Tailspin Toys (Donner, LA)",1,3,1,1315,1316,9237,0,01/11/2016,(225) 555-0100,(225) 555-0101
158,159,"Tailspin Toys (Saint Louis Park, MN)",1,3,1,1317,1318,30132,0,01/11/2016,(218) 555-0100,(218) 555-0101
159,160,"Tailspin Toys (Crary, ND)",1,3,1,1319,1320,7914,0,01/11/2016,(701) 555-0100,(701) 555-0101
160,161,"Tailspin Toys (Aspen Park, CO)",1,3,1,1321,1322,1366,0,01/11/2016,(303) 555-0100,(303) 555-0101
161,162,"Tailspin Toys (Glen Park, NY)",1,3,1,1323,1324,13136,0,01/11/2016,(212) 555-0100,(212) 555-0101
162,163,"Tailspin Toys (Panaca, NV)",1,3,1,1325,1326,26076,0,01/11/2016,(702) 555-0100,(702) 555-0101
163,164,"Tailspin Toys (Rothsville, PA)",1,3,1,1327,1328,29651,0,01/11/2016,(215) 555-0100,(215) 555-0101
164,165,"Tailspin Toys (Topstone, CT)",1,3,1,1329,1330,34256,0,01/11/2016,(203) 555-0100,(203) 555-0101
165,166,"Tailspin Toys (McCamey, TX)",1,3,1,1331,1332,21431,0,01/11/2016,(210) 555-0100,(210) 555-0101
166,167,"Tailspin Toys (Rockwall, TX)",1,3,1,1333,1334,29320,0,01/11/2016,(210) 555-0100,(210) 555-0101
167,168,"Tailspin Toys (Seagraves, TX)",1,3,1,1335,1336,30926,0,01/11/2016,(210) 555-0100,(210) 555-0101
168,169,"Tailspin Toys (Sinclair, WY)",1,3,1,1337,1338,31685,0,01/11/2016,(307) 555-0100,(307) 555-0101
169,170,"Tailspin Toys (Eastchester, NY)",1,3,1,1339,1340,9932,0,01/11/2016,(212) 555-0100,(212) 555-0101
170,171,"Tailspin Toys (Ortley Beach, NJ)",1,3,1,1341,1342,25653,0,01/11/2016,(201) 555-0100,(201) 555-0101
171,172,"Tailspin Toys (Madrone, NM)",1,3,1,1343,1344,20535,0,01/11/2016,(505) 555-0100,(505) 555-0101
172,173,"Tailspin Toys (Wappingers Falls, NY)",1,3,1,1345,1346,35833,0,01/11/2016,(212) 555-0100,(212) 555-0101
173,174,"Tailspin Toys (Astor Park, FL)",1,3,1,1347,1348,1380,0,01/11/2016,(239) 555-0100,(239) 555-0101
174,175,"Tailspin Toys (San Acacia, NM)",1,3,1,1349,1350,30342,0,01/11/2016,(505) 555-0100,(505) 555-0101
175,176,"Tailspin Toys (Malott, WA)",1,3,1,1351,1352,20642,0,01/11/2016,(206) 555-0100,(206) 555-0101
176,177,"Tailspin Toys (Orrtanna, PA)",1,3,1,1353,1354,25646,0,01/11/2016,(215) 555-0100,(215) 555-0101
177,178,"Tailspin Toys (Armstrong Creek, WI)",1,3,1,1355,1356,1207,0,01/11/2016,(262) 555-0100,(262) 555-0101
178,179,"Tailspin Toys (Hiteman, IA)",1,3,1,1357,1358,15610,0,01/11/2016,(319) 555-0100,(319) 555-0101
179,180,"Tailspin Toys (Caselton, NV)",1,3,1,1359,1360,5540,0,01/11/2016,(702) 555-0100,(702) 555-0101
180,181,"Tailspin Toys (Heilwood, PA)",1,3,1,1361,1362,15118,0,01/11/2016,(215) 555-0100,(215) 555-0101
181,182,"Tailspin Toys (Hayes Center, NE)",1,3,1,1363,1364,14977,0,01/11/2016,(308) 555-0100,(308) 555-0101
182,183,"Tailspin Toys (Tierra Verde, FL)",1,3,1,1365,1366,34028,0,01/11/2016,(239) 555-0100,(239) 555-0101
183,184,"Tailspin Toys (South Euclid, OH)",1,3,1,1367,1368,32083,0,01/11/2016,(216) 555-0100,(216) 555-0101
184,185,"Tailspin Toys (Vidrine, LA)",1,3,1,1369,1370,35355,0,01/11/2016,(225) 555-0100,(225) 555-0101
185,186,"Tailspin Toys (Placer, OR)",1,3,1,1371,1372,27166,0,01/11/2016,(458) 555-0100,(458) 555-0101
186,187,"Tailspin Toys (Brown City, MI)",1,3,1,1373,1374,4291,0,01/11/2016,(231) 555-0100,(231) 555-0101
187,188,"Tailspin Toys (Premont, TX)",1,3,1,1375,1376,27840,0,01/11/2016,(210) 555-0100,(210) 555-0101
188,189,"Tailspin Toys (Wilkes-Barre, PA)",1,3,1,1377,1378,37194,0,01/11/2016,(215) 555-0100,(215) 555-0101
189,190,"Tailspin Toys (Teutopolis, IL)",1,3,1,1379,1380,33832,0,01/11/2016,(217) 555-0100,(217) 555-0101
190,191,"Tailspin Toys (Orchard Hill, GA)",1,3,1,1381,1382,25552,0,01/11/2016,(229) 555-0100,(229) 555-0101
191,192,"Tailspin Toys (Optimo, NM)",1,3,1,1383,1384,25505,0,01/11/2016,(505) 555-0100,(505) 555-0101
192,193,"Tailspin Toys (Knifley, KY)",1,3,1,1385,1386,17931,0,01/11/2016,(270) 555-0100,(270) 555-0101
193,194,"Tailspin Toys (Naples Park, FL)",1,3,1,1387,1388,23592,0,01/11/2016,(239) 555-0100,(239) 555-0101
194,195,"Tailspin Toys (Lesslie, SC)",1,3,1,1389,1390,19232,0,01/11/2016,(803) 555-0100,(803) 555-0101
195,196,"Tailspin Toys (Howells, NE)",1,3,1,1391,1392,16090,0,01/11/2016,(308) 555-0100,(308) 555-0101
196,197,"Tailspin Toys (Magalia, CA)",1,3,1,1393,1394,20538,0,01/11/2016,(209) 555-0100,(209) 555-0101
197,198,"Tailspin Toys (Buell, MO)",1,3,1,1395,1396,4491,0,01/11/2016,(314) 555-0100,(314) 555-0101
198,199,"Tailspin Toys (Antonito, CO)",1,3,1,1397,1398,962,0,01/11/2016,(303) 555-0100,(303) 555-0101
199,200,"Tailspin Toys (Tooele, UT)",1,3,1,1399,1400,34230,0,01/11/2016,(385) 555-0100,(385) 555-0101
200,201,"Tailspin Toys (Skyway, WA)",1,3,1,1401,1402,31752,0,01/11/2016,(206) 555-0100,(206) 555-0101
201,401,Wingtip Toys (Head Office),401,3,2,2001,2002,25555,0,01/11/2016,(303) 555-0100,(303) 555-0101
202,402,"Wingtip Toys (Black Lick, PA)",401,3,2,2003,2004,3127,0,01/11/2016,(215) 555-0100,(215) 555-0101
203,403,"Wingtip Toys (Queen Valley, AZ)",401,3,2,2005,2006,28129,0,01/11/2016,(480) 555-0100,(480) 555-0101
204,404,"Wingtip Toys (Penns Creek, PA)",401,3,2,2007,2008,26579,0,01/11/2016,(215) 555-0100,(215) 555-0101
205,405,"Wingtip Toys (Bourbonnais, IL)",401,3,2,2009,2010,3659,0,01/11/2016,(217) 555-0100,(217) 555-0101
206,406,"Wingtip Toys (Tuscaloosa, AL)",401,3,2,2011,2012,34633,0,01/11/2016,(205) 555-0100,(205) 555-0101
207,407,"Wingtip Toys (Mooringsport, LA)",401,3,2,2013,2014,22903,0,01/11/2016,(225) 555-0100,(225) 555-0101
